YOU  Y UW
DISAPPOINTED  D IH S AH P OY N T IH D
DISAPPOINTED(1)  D IH S AH P OY N IH D
SLIP  S L IH P
EMOTIONAL  IH M OW SH AH N AH L
EMOTIONAL(1)  IY M OW SH AH N AH L
PINK  P IH NG K
FELLAS  F EH L AH S
J  JH EY
TERRIFIC  T ER IH F IH K
SETTING  S EH T IH NG
MAID  M EY D
AGENCY  EY JH AH N S IY
HIGHLY  HH AY L IY
CHILDHOOD  CH AY L D HH UH D
OPPOSITE  AA P AH Z IH T
POLICY  P AA L AH S IY
SARA  S EH R AH
PANIC  P AE N IH K
DESIGN  D IH Z AY N
CHAT  CH AE T
EVENTS  IH V EH N T S
EVENTS(1)  IY V EH N T S
TASK  T AE S K
TERRY  T EH R IY
STANDS  S T AE N D Z
PARTIES  P AA R T IY Z
CHATTER  CH AE T ER
BARRY  B AE R IY
BARRY(1)  B EH R IY
PREVIOUSLY  P R IY V IY AH S L IY
WINGS  W IH NG Z
P  P IY
GEE  JH IY
MINDS  M AY N D Z
BELT  B EH L T
ENTIRELY  IH N T AY ER L IY
GUARANTEE  G EH R AH N T IY
WASTING  W EY S T IH NG
BLOWING  B L OW IH NG
CURRENT  K ER AH N T
CURRENT(1)  K ER N T
CURRENT(2)  K AA R AH N T
NATURALLY  N AE CH ER AH L IY
NATURALLY(1)  N AE CH R AH L IY
GARBAGE  G AA R B IH JH
BEHAVE  B IH HH EY V
ANNE  AE N
EMBARRASSING  IH M B EH R AH S IH NG
EXTRAORDINARY  EH K S T R AH AO R D AH N EH R IY
EXTRAORDINARY(1)  IH K S T R AO R D AH N EH R IY
THIN  TH IH N
CUSTODY  K AH S T AH D IY
DEMON  D IY M AH N
COINCIDENCE  K OW IH N S IH D AH N S
IGNORE  IH G N AO R
SOLID  S AA L AH D
ATTEMPT  AH T EH M P T
REVOLUTION  R EH V AH L UW SH AH N
ABANDONED  AH B AE N D AH N D
AGREEMENT  AH G R IY M AH N T
WINDOWS  W IH N D OW Z
EMPIRE  EH M P AY ER
SALLY  S AE L IY
USEFUL  Y UW S F AH L
GUTS  G AH T S
VIOLENT  V AY AH L AH N T
MAC  M AE K
DISASTER  D IH Z AE S T ER
CUTTING  K AH T IH NG
SETTLED  S EH T AH L D
HITS  HH IH T S
ADVANCE  AH D V AE N S
PUSHING  P UH SH IH NG
ASKS  AE S K S
ANDREW  AE N D R UW
INTEND  IH N T EH N D
PERFORM  P ER F AO R M
STAYS  S T EY Z
SUBTITLES  S AH B T AY T AH L Z
GUITAR  G IH T AA R
TEACHING  T IY CH IH NG
DETAIL  D IH T EY L
DETAIL(1)  D IY T EY L
DAMNED  D AE M D
BEHAVIOR  B IH HH EY V Y ER
DELIVERY  D IH L IH V ER IY
GATHER  G AE DH ER
GASPING  G AE S P IH NG
ABILITY  AH B IH L AH T IY
DISTRICT  D IH S T R IH K T
COUNTING  K AW N T IH NG
ACTUAL  AE K CH AH W AH L
ACTUAL(1)  AE K SH AH L
CRUEL  K R UW AH L
CRUEL(1)  K R UW L
DENY  D IH N AY
SHOE  SH UW
SLAVE  S L EY V
COWARD  K AW ER D
SOBBING  S AA B IH NG
DOZEN  D AH Z AH N
HUNTER  HH AH N T ER
DOUG  D AH G
PATHETIC  P AH TH EH T IH K
CULTURE  K AH L CH ER
BURY  B EH R IY
LATEST  L EY T AH S T
EXPLANATION  EH K S P L AH N EY SH AH N
COMMITTEE  K AH M IH T IY
HOLLYWOOD  HH AA L IY W UH D
HURTING  HH ER T IH NG
DAILY  D EY L IY
SWING  S W IH NG
SHY  SH AY
U  Y UW
BACKGROUND  B AE K G R AW N D
IDENTITY  AY D EH N T AH T IY
URGENT  ER JH AH N T
BEEPS  B IY P S
WINS  W IH N Z
CHASING  CH EY S IH NG
SWIMMING  S W IH M IH NG
CHANNEL  CH AE N AH L
JUMPED  JH AH M P T
JOHNSON  JH AA N S AH N
NAVY  N EY V IY
BOUND  B AW N D
SPECIES  S P IY SH IY Z
BLAKE  B L EY K
VEGAS  V EY G AH S
PRISONERS  P R IH Z AH N ER Z
PRISONERS(1)  P R IH Z N ER Z
STRUGGLE  S T R AH G AH L
MASK  M AE S K
QUIETLY  K W AY AH T L IY
HOWARD  HH AW ER D
STOPPING  S T AA P IH NG
FEVER  F IY V ER
MOLLY  M AA L IY
ASSURE  AH SH UH R
MIXED  M IH K S T
JEAN  JH IY N
IMPRESSIVE  IH M P R EH S IH V
HONG  HH AO NG
UNIQUE  Y UW N IY K
LOAN  L OW N
WHISTLE  W IH S AH L
WHISTLE(1)  HH W IH S AH L
DREW  D R UW
BARKING  B AA R K IH NG
PUNISHMENT  P AH N IH SH M AH N T
THREATENED  TH R EH T AH N D
PRODUCTION  P R AH D AH K SH AH N
PRODUCTION(1)  P R OW D AH K SH AH N
PRODUCTION(2)  P ER D AH K SH AH N
CAPITAL  K AE P IH T AH L
KILLS  K IH L Z
BILLION  B IH L Y AH N
AGENTS  EY JH AH N T S
TRUSTED  T R AH S T IH D
CHEATING  CH IY T IH NG
DOLLAR  D AA L ER
DOLLAR(1)  D AO L ER
POTENTIAL  P AH T EH N SH AH L
SENSITIVE  S EH N S AH T IH V
SENSITIVE(1)  S EH N S IH T IH V
QUARTER  K W AO R T ER
DONNA  D AA N AH
DUKE  D UW K
BOWL  B OW L
BULLETS  B UH L AH T S
MUSEUM  M Y UW Z IY AH M
MUSEUM(1)  M Y UW Z IY AH M
JUNE  JH UW N
CHEER  CH IH R
ITALY  IH T AH L IY
KITTY  K IH T IY
GERMANS  JH ER M AH N Z
DISH  D IH SH
GUNSHOT  G AH N SH AA T
THURSDAY  TH ER Z D EY
THURSDAY(1)  TH ER Z D IY
CLOSET  K L AA Z AH T
GREG  G R EH G
DIRT  D ER T
UNKNOWN  AH N N OW N
CROWN  K R AW N
SHOUT  SH AW T
FELLA  F EH L AH
WOUNDED  W UW N D IH D
FRIGHTENED  F R AY T AH N D
GREATER  G R EY T ER
NOTHIN  N AA TH IH N
LINDA  L IH N D AH
CONFESS  K AH N F EH S
COUCH  K AW CH
MOBILE  M OW B AH L
DREAMING  D R IY M IH NG
ACCUSED  AH K Y UW Z D
DEMAND  D IH M AE N D
EXPRESS  IH K S P R EH S
TRANSFER  T R AE N S F ER
TRANSFER(1)  T R AE N S F ER
JOINT  JH OY N T
FIRING  F AY R IH NG
FIRING(1)  F AY ER R IH NG
EPISODE  EH P IH S OW D
BASEMENT  B EY S M AH N T
WHISPERING  W IH S P ER IH NG
WHISPERING(1)  HH W IH S P ER IH NG
LAWS  L AO Z
ROMAN  R OW M AH N
ABOARD  AH B AO R D
PA  P AA
ARTICLE  AA R T AH K AH L
ARTICLE(1)  AA R T IH K AH L
STEADY  S T EH D IY
IMPRESSED  IH M P R EH S T
BETTY  B EH T IY
GUIDE  G AY D
SANDWICH  S AE N D W IH CH
SANDWICH(1)  S AE N W IH CH
SANDWICH(2)  S AE M W IH CH
FAVOUR  F EY V ER
FLASH  F L AE SH
WALLET  W AO L AH T
MIGHTY  M AY T IY
SIDES  S AY D Z
CROSSED  K R AO S T
BREAKS  B R EY K S
BRUCE  B R UW S
QUALITY  K W AA L AH T IY
MISERABLE  M IH Z ER AH B AH L
MISERABLE(1)  M IH Z R AH B AH L
WARNED  W AO R N D
KONG  K AO NG
KONG(1)  K AO NG G
CONCERT  K AA N S ER T
CONCERT(1)  K AH N S ER T
SINGER  S IH NG ER
ROLLING  R OW L IH NG
TUESDAY  T UW Z D IY
TUESDAY(1)  T UW Z D EY
TUESDAY(2)  T Y UW Z D EY
LANE  L EY N
EMBARRASSED  IH M B EH R AH S T
REFUSED  R AH F Y UW Z D
REFUSED(1)  R IH F Y UW Z D
ROY  R OY
SEC  S EH K
GHOSTS  G OW S T S
ARGUE  AA R G Y UW
BASEBALL  B EY S B AO L
TITLE  T AY T AH L
BOOTS  B UW T S
JOSEPH  JH OW S AH F
JOSEPH(1)  JH OW Z AH F
COMMISSIONER  K AH M IH SH AH N ER
PEE  P IY
FIFTH  F IH F TH
FIFTH(1)  F IH TH
CHARITY  CH EH R IH T IY
DRAMA  D R AA M AH
ANYTIME  EH N IY T AY M
VOICES  V OY S AH Z
VOICES(1)  V OY S IH Z
ONLINE  AO N L AY N
CEREMONY  S EH R AH M OW N IY
JUSTIN  JH AH S T AH N
JUSTIN(1)  JH AH S T IH N
PACKAGE  P AE K AH JH
PACKAGE(1)  P AE K IH JH
JO  JH OW
ANGELA  AE N JH AH L AH
JORDAN  JH AO R D AH N
TRAINED  T R EY N D
BELIEVES  B IH L IY V Z
MASSIVE  M AE S IH V
SHINE  SH AY N
AGES  EY JH IH Z
COMRADE  K AA M R AE D
ABBY  AE B IY
NOBLE  N OW B AH L
PUSSY  P UH S IY
SUPPLY  S AH P L AY
TONE  T OW N
KIDNAPPED  K IH D N AE P T
CUSTOMER  K AH S T AH M ER
SWEAT  S W EH T
APPROACHING  AH P R OW CH IH NG
POSSIBILITY  P AA S AH B IH L AH T IY
LOS  L OW S
LOS(1)  L AO S
FLAG  F L AE G
ENTERED  EH N T ER D
ENTERED(1)  EH N ER D
CIVIL  S IH V AH L
DEGREES  D IH G R IY Z
VE  V IY
NATHAN  N EY TH AH N
PLASTIC  P L AE S T IH K
GEAR  G IH R
KATIE  K EY T IY
NUCLEAR  N UW K L IY ER
AFTERWARDS  AE F T ER W ER D Z
SURRENDER  S ER EH N D ER
SUFFERED  S AH F ER D
IMPRESSION  IH M P R EH SH AH N
SELF  S EH L F
CREATURES  K R IY CH ER Z
BUST  B AH S T
SUSPICIOUS  S AH S P IH SH AH S
Q  K Y UW
SERVANT  S ER V AH N T
TERRIBLY  T EH R AH B L IY
CHEAT  CH IY T
BARS  B AA R Z
GYM  JH IH M
ARRANGE  ER EY N JH
ASSAULT  AH S AO L T
PARKER  P AA R K ER
TRAIL  T R EY L
COSTS  K AA S T S
COSTS(1)  K AO S T S
CRISIS  K R AY S AH S
COLLECTION  K AH L EH K SH AH N
PARTNERS  P AA R T N ER Z
DIAMOND  D AY M AH N D
ADULT  AH D AH L T
ADULT(1)  AE D AH L T
BIBLE  B AY B AH L
TRICKS  T R IH K S
CRIMES  K R AY M Z
LEAGUE  L IY G
ORANGE  AO R AH N JH
ORANGE(1)  AO R IH N JH
JOKES  JH OW K S
IMAGINATION  IH M AE JH AH N EY SH AH N
KISSING  K IH S IH NG
NEIGHBOR  N EY B ER
BLAST  B L AE S T
SUITS  S UW T S
PROTECTING  P R AH T EH K T IH NG
RECALL  R IY K AO L
RECALL(1)  R IH K AO L
CONSIDERING  K AH N S IH D ER IH NG
ARRANGED  ER EY N JH D
BALANCE  B AE L AH N S
TEDDY  T EH D IY
GOLF  G AA L F
GOLF(1)  G AO L F
REPORTED  R IY P AO R T AH D
REPORTED(1)  R IH P AO R T AH D
DEFEAT  D IH F IY T
THEME  TH IY M
COMFORT  K AH M F ER T
WING  W IH NG
SACRED  S EY K R AH D
SACRED(1)  S EY K R IH D
REACTION  R IY AE K SH AH N
BETRAYED  B IH T R EY D
ENJOYING  EH N JH OY IH NG
OFFERING  AO F ER IH NG
OFFERING(1)  AO F R IH NG
CONDITIONS  K AH N D IH SH AH N Z
MARGARET  M AA R G ER IH T
MARGARET(1)  M AA R G R AH T
MARGARET(2)  M AA R G R IH T
LEGEND  L EH JH AH N D
GRASS  G R AE S
PRINT  P R IH N T
MESSAGES  M EH S AH JH AH Z
MESSAGES(1)  M EH S IH JH IH Z
VIRUS  V AY R AH S
FOX  F AA K S
LAUNCH  L AO N CH
SIREN  S AY R AH N
DESERVES  D IH Z ER V Z
ENTRANCE  EH N T R AH N S
GREETINGS  G R IY T IH NG Z
HOPEFULLY  HH OW P F AH L IY
RELIGION  R IH L IH JH AH N
RELIGION(1)  R IY L IH JH AH N
BUTTER  B AH T ER
HOMEWORK  HH OW M W ER K
STRESS  S T R EH S
INSIST  IH N S IH S T
PRACTICALLY  P R AE K T IH K AH L IY
CAP  K AE P
SURVIVED  S ER V AY V D
TYLER  T AY L ER
JAY  JH EY
WIPE  W AY P
SPECIFIC  S P AH S IH F IH K
SPECIFIC(1)  S P IH S IH F IH K
EVERYDAY  EH V R IY D EY
BAT  B AE T
MIX  M IH K S
DESIGNED  D IH Z AY N D
TORTURE  T AO R CH ER
CAROL  K AE R AH L
CAROL(1)  K EH R AH L
DECK  D EH K
MESSED  M EH S T
DECISIONS  D IH S IH ZH AH N Z
RABBIT  R AE B AH T
RABBIT(1)  R AE B IH T
OPTION  AA P SH AH N
OPTION(1)  AO P SH AH N
TEXAS  T EH K S AH S
ACCENT  AH K S EH N T
ACCENT(1)  AE K S EH N T
TAX  T AE K S
BEATEN  B IY T AH N
RIP  R IH P
OLIVER  AA L AH V ER
OLIVER(1)  AA L IH V ER
DUMPED  D AH M P T
MYSTERIOUS  M IH S T IH R IY AH S
JEWISH  JH UW IH SH
WILSON  W IH L S AH N
GROWLING  G R OW L IH NG
BUD  B AH D
THERAPY  TH EH R AH P IY
VINCENT  V IH N S EH N T
VINCENT(1)  V IH N S IH N T
LIFETIME  L AY F T AY M
SELFISH  S EH L F IH SH
BILLS  B IH L Z
STEPHEN  S T IY V AH N
CRUSH  K R AH SH
ATTRACTIVE  AH T R AE K T IH V
HEAVILY  HH EH V AH L IY
CATS  K AE T S
CHAMPION  CH AE M P IY AH N
SKULL  S K AH L
CARLOS  K AA R L OW S
VERSION  V ER ZH AH N
PAINFUL  P EY N F AH L
MISTRESS  M IH S T R AH S
TOUCHING  T AH CH IH NG
CATHERINE  K AE TH ER AH N
CATHERINE(1)  K AE TH ER IH N
CATHERINE(2)  K AE TH R IH N
FUEL  F Y UW AH L
FUEL(1)  F Y UW L
TERM  T ER M
TOWARD  T AH W AO R D
TOWARD(1)  T AO R D
LOU  L UW
ALBERT  AE L B ER T
BOND  B AA N D
SHOWN  SH OW N
ALI  AA L IY
ATTEND  AH T EH N D
DESCRIBE  D IH S K R AY B
ROSS  R AA S
ROSS(1)  R AO S
PLAIN  P L EY N
EXPERIMENT  IH K S P EH R AH M AH N T
IDIOTS  IH D IY AH T S
MONK  M AH NG K
PARTICULARLY  P AA R T IH K Y AH L ER L IY
PARTICULARLY(1)  P ER T IH K Y AH L ER L IY
BURNS  B ER N Z
REMOVED  R IY M UW V D
CHARLOTTE  SH AA R L AH T
SCIENTISTS  S AY AH N T IH S T S
SCIENTISTS(1)  S AY N T IH S T S
SCIENTISTS(2)  S AY N T IH S
SCIENTISTS(3)  S AY AH N T IH S
LION  L AY AH N
LAD  L AE D
EXERCISE  EH K S ER S AY Z
PURSE  P ER S
WASTED  W EY S T AH D
WASTED(1)  W EY S T IH D
EL  EH L
MARCUS  M AA R K AH S
KENNY  K EH N IY
CAVE  K EY V
PRINTS  P R IH N T S
STANDARD  S T AE N D ER D
SYSTEMS  S IH S T AH M Z
WORE  W AO R
TUNNEL  T AH N AH L
JEREMY  JH EH R AH M IY
BLESSED  B L EH S T
STEEL  S T IY L
ENDING  EH N D IH NG
DIVISION  D IH V IH ZH AH N
FANS  F AE N Z
SHEEP  SH IY P
CLASSIC  K L AE S IH K
REALISE  R IY AH L AY Z
NEPHEW  N EH F Y UW
FINANCIAL  F AH N AE N SH AH L
FINANCIAL(1)  F IH N AE N SH AH L
FINANCIAL(2)  F AY N AE N SH AH L
SAUCE  S AO S
PRETENDING  P R IY T EH N D IH NG
INFLUENCE  IH N F L UW AH N S
NETWORK  N EH T W ER K
JESSE  JH EH S IY
CONTEST  K AA N T EH S T
CONTEST(1)  K AH N T EH S T
WALKS  W AO K S
MURDERS  M ER D ER Z
CABIN  K AE B AH N
JUNGLE  JH AH NG G AH L
NEIGHBORS  N EY B ER Z
VAMPIRE  V AE M P AY R
THROUGHOUT  TH R UW AW T
DRAWING  D R AO IH NG
CONFIRM  K AH N F ER M
EXIT  EH G Z IH T
EXIT(1)  EH K S AH T
SPIT  S P IH T
GENERATION  JH EH N ER EY SH AH N
BEGGING  B EH G IH NG
CRYSTAL  K R IH S T AH L
MILE  M AY L
BATMAN  B AE T M AE N
STATUS  S T AE T AH S
STATUS(1)  S T EY T AH S
EDWARD  EH D W ER D
DEGREE  D IH G R IY
FRANKLY  F R AE NG K L IY
SMILING  S M AY L IH NG
BUCK  B AH K
BRAND  B R AE N D
INFORM  IH N F AO R M
TOY  T OY
X  EH K S
SCRATCH  S K R AE CH
JEWS  JH UW Z
TRIBE  T R AY B
REMINDS  R IY M AY N D Z
CENTRE  S EH N T ER
GENEROUS  JH EH N ER AH S
GROSS  G R OW S
BARBARA  B AA R B ER AH
BARBARA(1)  B AA R B R AH
SCRIPT  S K R IH P T
CANCEL  K AE N S AH L
NINA  N IY N AH
ENJOYED  EH N JH OY D
SURROUNDED  S ER AW N D AH D
SURROUNDED(1)  S ER AW N D IH D
CONFIRMED  K AH N F ER M D
NERVE  N ER V
SEAL  S IY L
BUG  B AH G
DIVORCED  D IH V AO R S T
RUSSIA  R AH SH AH
RESPONSE  R IH S P AA N S
RESPONSE(1)  R IY S P AA N S
RECENT  R IY S AH N T
SURVEILLANCE  S ER V EY L AH N S
RELIGIOUS  R IH L IH JH AH S
RELIGIOUS(1)  R IY L IH JH AH S
SPIRITS  S P IH R IH T S
LOADED  L OW D AH D
LOADED(1)  L OW D IH D
GAIN  G EY N
TRIGGER  T R IH G ER
CLINIC  K L IH N IH K
FILTHY  F IH L TH IY
KEN  K EH N
STRUCK  S T R AH K
TINA  T IY N AH
CONCENTRATE  K AA N S AH N T R EY T
PATIENCE  P EY SH AH N S
TRAITOR  T R EY T ER
HECK  HH EH K
TEAMS  T IY M Z
HAIL  HH EY L
PORT  P AO R T
FETCH  F EH CH
BEEF  B IY F
ROUTINE  R UW T IY N
OUTFIT  AW T F IH T
TURKEY  T ER K IY
RELATED  R IH L EY T IH D
RELATED(1)  R IY L EY T AH D
RELATED(2)  R IY L EY T IH D
STONES  S T OW N Z
DRAMATIC  D R AH M AE T IH K
CONFESSION  K AH N F EH SH AH N
EASE  IY Z
CHLOE  K L OW IY
UNHAPPY  AH N HH AE P IY
DEPUTY  D EH P Y AH T IY
DEPUTY(1)  D EH P Y UW T IY
REBECCA  R AH B EH K AH
PRINCIPAL  P R IH N S AH P AH L
LUCAS  L UW K AH S
FIELDS  F IY L D Z
FOOLISH  F UW L IH SH
CELLS  S EH L Z
WAYNE  W EY N
STAKE  S T EY K
LINK  L IH NG K
INDUSTRY  IH N D AH S T R IY
VALUABLE  V AE L Y AH B AH L
VALUABLE(1)  V AE L Y UW B AH L
UNITS  Y UW N AH T S
UNITS(1)  Y UW N IH T S
PLAYERS  P L EY ER Z
TRACKS  T R AE K S
YUP  Y AH P
LANDING  L AE N D IH NG
DELIVERED  D IH L IH V ER D
COSTUME  K AA S T UW M
COSTUME(1)  K AA S T UW M
VICE  V AY S
FRANKIE  F R AE NG K IY
PLEASANT  P L EH Z AH N T
INJURED  IH N JH ER D
ARGUMENT  AA R G Y AH M AH N T
DISTANT  D IH S T AH N T
DEREK  D EH R IH K
CLICKS  K L IH K S
PROCEED  P R AH S IY D
PROCEED(1)  P R OW S IY D
PROCEED(2)  P ER S IY D
MOTION  M OW SH AH N
WORRIES  W ER IY Z
SOMEPLACE  S AH M P L EY S
CONSTRUCTION  K AH N S T R AH K SH AH N
USES  Y UW S AH Z
USES(1)  Y UW S IH Z
USES(2)  Y UW Z AH Z
USES(3)  Y UW Z IH Z
SPAIN  S P EY N
AIM  EY M
CIGARETTES  S IH G AH R EH T S
WESTERN  W EH S T ER N
WESTERN(1)  HH W EH S T ER N
TODD  T AA D
SATISFIED  S AE T AH S F AY D
SATISFIED(1)  S AE T IH S F AY D
STARVING  S T AA R V IH NG
SEATS  S IY T S
CLEANED  K L IY N D
SOUNDED  S AW N D IH D
RUSSELL  R AH S AH L
RAPED  R EY P T
VINCE  V IH N S
HOLLY  HH AA L IY
PATTERN  P AE T ER N
THUS  DH AH S
NAIL  N EY L
BANKS  B AE NG K S
BETH  B EH TH
SKIP  S K IH P
CHARGED  CH AA R JH D
ELECTRICITY  IH L EH K T R IH S AH T IY
SOPHIE  S OW F IY
LEND  L EH N D
WARRIOR  W AO R IY ER
WARRIOR(1)  W AO R Y ER
FAIRY  F EH R IY
GENTLE  JH EH N T AH L
GENTLE(1)  JH EH N AH L
AFFAIRS  AH F EH R Z
ANNIVERSARY  AE N AH V ER S ER IY
BERLIN  B ER L IH N
PRESENTS  P R EH Z AH N T S
PRESENTS(1)  P R IY Z EH N T S
BESIDE  B IH S AY D
BESIDE(1)  B IY S AY D
CITIZENS  S IH T AH Z AH N Z
CITIZENS(1)  S IH T IH Z AH N Z
VISITING  V IH Z IH T IH NG
IDENTIFY  AY D EH N T AH F AY
TEMPERATURE  T EH M P R AH CH ER
TEMPERATURE(1)  T EH M P ER AH CH ER
BOOTH  B UW TH
TOKYO  T OW K IY OW
PET  P EH T
SPORT  S P AO R T
DAVIS  D EY V AH S
DAVIS(1)  D EY V IH S
BAIL  B EY L
OUCH  AW CH
MILLER  M IH L ER
RANDY  R AE N D IY
INTERRUPT  IH N T ER AH P T
UNDERNEATH  AH N D ER N IY TH
TUNE  T UW N
DYLAN  D IH L AH N
PRAYER  P R EH R
PRAYER(1)  P R EY ER
CONSCIENCE  K AA N SH AH N S
ANSWERING  AE N S ER IH NG
HEADQUARTERS  HH EH D K W AO R T ER Z
HEADQUARTERS(1)  HH EH D K AO R T ER Z
WOUNDS  W UW N D Z
WAVES  W EY V Z
FORTH  F AO R TH
RECKON  R EH K AH N
DRANK  D R AE NG K
WHISPERS  W IH S P ER Z
WHISPERS(1)  HH W IH S P ER Z
BUSTED  B AH S T IH D
PLACED  P L EY S T
AWKWARD  AO K W ER D
COUGHING  K AA F IH NG
HEROES  HH IH R OW Z
HEROES(1)  HH IY R OW Z
COCK  K AA K
PHONES  F OW N Z
CHIP  CH IH P
FROZEN  F R OW Z AH N
GUILT  G IH L T
LOUSY  L AW Z IY
CHILL  CH IH L
MOUSE  M AW S
DEALER  D IY L ER
BACKUP  B AE K AH P
BLOWN  B L OW N
HOMES  HH OW M Z
COOPER  K UW P ER
POUR  P AO R
PARADISE  P EH R AH D AY S
BEINGS  B IY IH NG Z
BISHOP  B IH SH AH P
TRUNK  T R AH NG K
TRADITION  T R AH D IH SH AH N
SMALLER  S M AO L ER
SALAD  S AE L AH D
OFFICIALLY  AH F IH SH AH L IY
COMPLEX  K AA M P L EH K S
COMPLEX(1)  K AH M P L EH K S
AVERAGE  AE V ER IH JH
AVERAGE(1)  AE V R IH JH
DENNIS  D EH N IH S
CLEARED  K L IH R D
BASIC  B EY S IH K
REPLACE  R IY P L EY S
REPLACE(1)  ER P L EY S
EVA  EY V AH
EVA(1)  IY V AH
INCREDIBLY  IH N K R EH D AH B L IY
HANNAH  HH AE N AH
CLIFF  K L IH F
GREEK  G R IY K
BEHALF  B IH HH AE F
IAN  IY AH N
ROTTEN  R AA T AH N
GRAY  G R EY
JESSICA  JH EH S IH K AH
PUNK  P AH NG K
STRIP  S T R IH P
LEWIS  L UW IH S
BRAD  B R AE D
THICK  TH IH K
UNDERGROUND  AH N D ER G R AW N D
ACTIONS  AE K SH AH N Z
BOXES  B AA K S AH Z
BOXES(1)  B AA K S IH Z
DOCUMENTS  D AA K Y AH M AH N T S
DOCUMENTS(1)  D AA K Y UW M AH N T S
PACKED  P AE K T
FOOTSTEPS  F UH T S T EH P S
DIAMONDS  D AY M AH N D Z
PIPE  P AY P
DOWNTOWN  D AW N T AW N
NANCY  N AE N S IY
REASONABLE  R IY Z AH N AH B AH L
REASONABLE(1)  R IY Z N AH B AH L
GOODNIGHT  G UH D N AY T
MACHINES  M AH SH IY N Z
RECORDING  R AH K AO R D IH NG
RECORDING(1)  R IH K AO R D IH NG
DEAF  D EH F
SAMPLE  S AE M P AH L
EQUAL  IY K W AH L
NEARBY  N IH R B AY
DIGGING  D IH G IH NG
LAUNDRY  L AO N D R IY
ENVIRONMENT  IH N V AY R AH N M AH N T
LE  L AH
CAGE  K EY JH
WIVES  W AY V Z
ROBOT  R OW B AA T
ROBOT(1)  R OW B AH T
STRANGERS  S T R EY N JH ER Z
HABIT  HH AE B AH T
HOLES  HH OW L Z
WRAP  R AE P
OWNS  OW N Z
GOODS  G UH D Z
NA  N AA
VIC  V IH K
RETURNING  R IH T ER N IH NG
RETURNING(1)  R IY T ER N IH NG
WEDNESDAY  W EH N Z D IY
WEDNESDAY(1)  W EH N Z D EY
BELLY  B EH L IY
GIFTS  G IH F T S
GIFTS(1)  G IH F S
BENEFIT  B EH N AH F IH T
TWELVE  T W EH L V
SOULS  S OW L Z
AUNTIE  AE N T IY
AUNTIE(1)  AO N T IY
SINK  S IH NG K
INTELLIGENT  IH N T EH L AH JH AH N T
EARL  ER L
CRIED  K R AY D
ROBBED  R AA B D
BEEP  B IY P
MOTIVE  M OW T IH V
DROPPING  D R AA P IH NG
MISTAKEN  M IH S T EY K AH N
TRIES  T R AY Z
CIRCUS  S ER K AH S
TERRITORY  T EH R IH T AO R IY
TIMING  T AY M IH NG
RON  R AA N
FIFTY  F IH F T IY
PIT  P IH T
APOLOGY  AH P AA L AH JH IY
EXAM  IH G Z AE M
FESTIVAL  F EH S T AH V AH L
FESTIVAL(1)  F EH S T IH V AH L
ACTRESS  AE K T R AH S
EFFECTS  IH F EH K T S
EFFECTS(1)  IH F EH K S
EFFECTS(2)  IY F EH K T S
EFFECTS(3)  IY F EH K S
WARD  W AO R D
BOSTON  B AA S T AH N
BOSTON(1)  B AO S T AH N
ACTIVITY  AE K T IH V IH T IY
WORKER  W ER K ER
HILLS  HH IH L Z
MICKEY  M IH K IY
DETERMINED  D IH T ER M AH N D
LANDED  L AE N D AH D
LANDED(1)  L AE N D IH D
UNLIKE  AH N L AY K
POLICEMAN  P AH L IY S M AH N
ANSWERED  AE N S ER D
FAVOURITE  F EY V ER IH T
ANGELS  EY N JH AH L Z
BOTHERING  B AA DH ER IH NG
SHELTER  SH EH L T ER
CRIMINALS  K R IH M AH N AH L Z
EXISTENCE  EH G Z IH S T AH N S
EXISTENCE(1)  IH G Z IH S T AH N S
W  D AH B AH L Y UW
FIGURES  F IH G Y ER Z
PREVENT  P R IH V EH N T
PREVENT(1)  P R IY V EH N T
ATMOSPHERE  AE T M AH S F IH R
VIRGINIA  V ER JH IH N Y AH
LOYAL  L OY AH L
PRODUCT  P R AA D AH K T
FOOLS  F UW L Z
MEANTIME  M IY N T AY M
TESTING  T EH S T IH NG
LIMIT  L IH M AH T
ELECTION  IH L EH K SH AH N
ANGELES  AE N JH AH L IH S
HOPES  HH OW P S
FREAKING  F R IY K IH NG
UNDERWEAR  AH N D ER W EH R
MICHELLE  M IH SH EH L
LESSONS  L EH S AH N Z
RESIST  R IH Z IH S T
RESIST(1)  R IY Z IH S T
CASEY  K EY S IY
PULSE  P AH L S
FAREWELL  F EH R W EH L
ELECTRIC  IH L EH K T R IH K
SLAP  S L AE P
ANN  AE N
YELL  Y EH L
CLOUDS  K L AW D Z
DOORBELL  D AO R B EH L
ADVENTURE  AE D V EH N CH ER
ADVENTURE(1)  AH D V EH N CH ER
DEVELOPED  D IH V EH L AH P T
OSCAR  AO S K ER
PASSPORT  P AE S P AO R T
CIA  S IY AY EY
HAMMER  HH AE M ER
HOOD  HH UH D
JUDGMENT  JH AH JH M AH N T
COMPLAIN  K AH M P L EY N
LAWYERS  L AO Y ER Z
LAWYERS(1)  L OY ER Z
HEAVENS  HH EH V AH N Z
HOMICIDE  HH AA M AH S AY D
PATROL  P AH T R OW L
EARNED  ER N D
FLOW  F L OW
HERS  HH ER Z
HERS(1)  HH ER Z
CHEATED  CH IY T AH D
CHEATED(1)  CH IY T IH D
APPEARED  AH P IH R D
TRAVELING  T R AE V AH L IH NG
